,Station,Roadway Name,Station Start,Station End
1746,14137,FEATHERBED LA,Macombs Rd,Jerome Ave
1747,14138,GRAND AVE,MACOMBS RD,W TREMONT AVE
1748,14139,FRANKLIN AVE,THIRD AVE,E 169TH ST
1749,14140,FREEMAN ST,INTERVALE AVE,SOUTHERN BLVD
1750,14141,FT INDPNDNCE ST,SEDGWICK AVE,ORLOFF AVE
402,14142,GARRISON AVE,LEGGETT AVE,TIFFANY ST
1751,14143,GIEGERICH PL,LONGSTREET AVE,LOCUST PT DR
1752,14144,GIVAN AVE,BAYCHESTER AVE,REEDS MILL LA
789,14145,GRACE AVE,BOSTON RD,NEEDHAM AVE
1753,14146,GRISWOLD AVE,RADIO DR,RESEARCH AVE
1754,14147,GUNTHER AVE,GUN HILL RD,BARTOW AVE
1755,14148,HALL OF FAM TER,SEDGWICK AVE,UNIVERSITY AVE
1199,14149,HALLECK ST,RYAWA AVE,HUNTS POINT AVE
